Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
2CLCmesc_004_RR_S4_2	(1.0, 24.2988444485159)	(2.0, 3.223066551706971)	(3.0, 1.4161820967951388)	(4.0, 0.9129428096882745)	(5.0, 0.7346908613994514)	(6.0, 0.5938400903655504)	(7.0, 0.5351411897054774)	(8.0, 0.4868932707773972)	(9.0, 0.42205404389020096)	('>10', 7.747584851914042)	('>50', 4.270232456379875)	('>100', 13.218075988466433)	('>500', 7.9301231148876346)	('>1k', 22.1578451088147)	('>5k', 5.3125666817522985)	('>10k+', 6.739916434940585)
2CLCmesc_011_RR_S18_1	(1.0, 97.13304181799799)	(2.0, 1.7152524741019555)	(3.0, 0.267415090345607)	(4.0, 0.11001756620501069)	(5.0, 0.06485514705343862)	(6.0, 0.041713338365554874)	(7.0, 0.024514702585352367)	(8.0, 0.016408064077312295)	(9.0, 0.022650599114579742)	('>10', 0.21013493496386168)	('>50', 0.07511447437682434)	('>100', 0.174740821450042)	('>500', 0.047512569636360885)	('>1k', 0.0966283997261313)	('>5k', 0.0)	('>10k+', 0.0)
2CLCmesc_011_RR_S18_2	(1.0, 30.254943444677394)	(2.0, 3.5908738689460846)	(3.0, 1.3989314393753047)	(4.0, 0.9127760817766293)	(5.0, 0.6826483573115849)	(6.0, 0.5854926993062044)	(7.0, 0.5158164811589927)	(8.0, 0.43308801462296687)	(9.0, 0.392191013414185)	('>10', 7.1549909642664185)	('>50', 3.725516430192618)	('>100', 11.80461016511715)	('>500', 6.759979020846026)	('>1k', 17.65814399614822)	('>5k', 6.406635021141143)	('>10k+', 7.723363001699022)
2CLCmesc_016_RR_S17_1	(1.0, 96.0910269514716)	(2.0, 2.0700024474685907)	(3.0, 0.3972021029471317)	(4.0, 0.16069852219159486)	(5.0, 0.10158072629681894)	(6.0, 0.0714664400066231)	(7.0, 0.046174867537585026)	(8.0, 0.04125137337216958)	(9.0, 0.031094329220726354)	('>10', 0.3839125819412619)	('>50', 0.13784679878466025)	('>100', 0.24017643327559224)	('>500', 0.05032466644687208)	('>1k', 0.17724175903866257)	('>5k', 0.0)	('>10k+', 0.0)
2CLCmesc_016_RR_S17_2	(1.0, 36.27777045743413)	(2.0, 4.01360403819375)	(3.0, 1.5167260767653512)	(4.0, 0.9723437756772391)	(5.0, 0.7211122926945612)	(6.0, 0.5844961655494089)	(7.0, 0.49828866800395333)	(8.0, 0.45234263966411803)	(9.0, 0.3835189821926573)	('>10', 7.020277802769661)	('>50', 3.731802602079506)	('>100', 11.813649829304463)	('>500', 6.329450542763274)	('>1k', 16.404292859144398)	('>5k', 4.509627144474441)	('>10k+', 4.770696123288991)
2CLCmesc_1_RR_S9_1	(1.0, 96.85101888386622)	(2.0, 1.75328226175469)	(3.0, 0.2736272913372367)	(4.0, 0.12477964776385275)	(5.0, 0.07384876652086668)	(6.0, 0.06314635160980724)	(7.0, 0.03691429510448511)	(8.0, 0.033038833940509216)	(9.0, 0.01898928334796159)	('>10', 0.3366711067670745)	('>50', 0.1379570856648645)	('>100', 0.22833286292385188)	('>500', 0.018454882264533522)	('>1k', 0.04993844713406005)	('>5k', 0.0)	('>10k+', 0.0)
2CLCmesc_1_RR_S9_2	(1.0, 29.567659063224127)	(2.0, 4.567829061515539)	(3.0, 2.168675976402161)	(4.0, 1.5343027322540705)	(5.0, 1.2307179048597094)	(6.0, 1.038726773963549)	(7.0, 0.9127670676274793)	(8.0, 0.8072063127583974)	(9.0, 0.6891605948405276)	('>10', 12.447807811843788)	('>50', 5.846992194375703)	('>100', 19.488006901250593)	('>500', 10.216477457318447)	('>1k', 8.300159632326135)	('>5k', 0.48548557638385686)	('>10k+', 0.6980249390558947)
2CLCmesc_1_S1_1	(1.0, 94.52934498677975)	(2.0, 2.3012279668614353)	(3.0, 0.7568354440130345)	(4.0, 0.37627168180087295)	(5.0, 0.23122719716276088)	(6.0, 0.14998116649938645)	(7.0, 0.09865438737862939)	(8.0, 0.0959489575316199)	(9.0, 0.07375826964682941)	('>10', 0.6707391046604408)	('>50', 0.1762160853701863)	('>100', 0.27794321820159223)	('>500', 0.07534878733637912)	('>1k', 0.11682159268110648)	('>5k', 0.06968115407602177)	('>10k+', 0.0)
2CLCmesc_1_S1_2	(1.0, 66.92656366225742)	(2.0, 4.454921013667813)	(3.0, 1.7461210948832764)	(4.0, 1.0689319586441612)	(5.0, 0.7480470692246798)	(6.0, 0.6165298530994445)	(7.0, 0.5316683197845102)	(8.0, 0.4460921501067395)	(9.0, 0.3988674207695198)	('>10', 6.054369772243053)	('>50', 2.75777950369245)	('>100', 6.134614560811257)	('>500', 2.141699898350482)	('>1k', 3.5816935826817367)	('>5k', 0.7784389339034269)	('>10k+', 1.6136612058800188)
2CLCmesc_2_RR_S10_1	(1.0, 96.33583118651273)	(2.0, 1.7314896049551387)	(3.0, 0.33631877976516933)	(4.0, 0.17221821097307552)	(5.0, 0.11109046491021149)	(6.0, 0.06562133011708787)	(7.0, 0.061890744817695784)	(8.0, 0.057074378025464514)	(9.0, 0.03549409358832036)	('>10', 0.41636406036019996)	('>50', 0.15829193389188634)	('>100', 0.31230990453858554)	('>500', 0.08350264818635003)	('>1k', 0.12250265935802815)	('>5k', 0.0)	('>10k+', 0.0)
