Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
2CLCmesc_2_RR_S10_1	(16.0, 1.0)	(17.0, 20.0)	(18.0, 622.0)	(19.0, 5495.0)	(20.0, 22014.0)	(21.0, 41786.0)	(22.0, 59284.0)	(23.0, 88808.0)	(24.0, 174329.0)	(25.0, 377661.0)	(26.0, 732156.0)	(27.0, 1008567.0)	(28.0, 1014515.0)	(29.0, 762435.0)	(30.0, 533745.0)	(31.0, 412168.0)	(32.0, 381429.0)	(33.0, 363029.0)	(34.0, 353371.0)	(35.0, 354991.0)	(36.0, 398768.0)	(37.0, 382323.0)	(38.0, 350167.0)	(39.0, 348696.0)	(40.0, 175321.0)														
2CLCmesc_2_RR_S10_2	(14.0, 8.0)	(15.0, 160.0)	(16.0, 2291.0)	(17.0, 14462.0)	(18.0, 33887.0)	(19.0, 38910.0)	(20.0, 37910.0)	(21.0, 41810.0)	(22.0, 44610.0)	(23.0, 43953.0)	(24.0, 45423.0)	(25.0, 48950.0)	(26.0, 57645.0)	(27.0, 78066.0)	(28.0, 131756.0)	(29.0, 212122.0)	(30.0, 245773.0)	(31.0, 243291.0)	(32.0, 267981.0)	(33.0, 312865.0)	(34.0, 356244.0)	(35.0, 415721.0)	(36.0, 492303.0)	(37.0, 568868.0)	(38.0, 837749.0)	(39.0, 3444114.0)	(40.0, 324829.0)												
2CLCmesc_2_S2_1	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 80.0)	(18.0, 1342.0)	(19.0, 11481.0)	(20.0, 45793.0)	(21.0, 87536.0)	(22.0, 110410.0)	(23.0, 140934.0)	(24.0, 280413.0)	(25.0, 644220.0)	(26.0, 1238201.0)	(27.0, 1554854.0)	(28.0, 1360005.0)	(29.0, 924904.0)	(30.0, 713291.0)	(31.0, 634053.0)	(32.0, 560222.0)	(33.0, 492124.0)	(34.0, 461029.0)	(35.0, 439857.0)	(36.0, 458711.0)	(37.0, 390958.0)	(38.0, 310029.0)	(39.0, 284450.0)	(40.0, 146328.0)
2CLCmesc_2_S2_2	(14.0, 5.0)	(15.0, 265.0)	(16.0, 5201.0)	(17.0, 34924.0)	(18.0, 77177.0)	(19.0, 85799.0)	(20.0, 81820.0)	(21.0, 94475.0)	(22.0, 117004.0)	(23.0, 136164.0)	(24.0, 158527.0)	(25.0, 184882.0)	(26.0, 237288.0)	(27.0, 359633.0)	(28.0, 729615.0)	(29.0, 1317898.0)	(30.0, 1230018.0)	(31.0, 738341.0)	(32.0, 557210.0)	(33.0, 493422.0)	(34.0, 468342.0)	(35.0, 456052.0)	(36.0, 496277.0)	(37.0, 539333.0)	(38.0, 607311.0)	(39.0, 1921702.0)	(40.0, 162551.0)												
2CLCmesc_3_RR_S11_1	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 82.0)	(18.0, 1771.0)	(19.0, 16889.0)	(20.0, 69861.0)	(21.0, 127139.0)	(22.0, 147165.0)	(23.0, 180101.0)	(24.0, 322798.0)	(25.0, 630095.0)	(26.0, 1128866.0)	(27.0, 1481079.0)	(28.0, 1449481.0)	(29.0, 1075329.0)	(30.0, 757416.0)	(31.0, 578864.0)	(32.0, 541634.0)	(33.0, 545182.0)	(34.0, 571786.0)	(35.0, 624255.0)	(36.0, 725623.0)	(37.0, 676374.0)	(38.0, 595269.0)	(39.0, 617928.0)	(40.0, 341465.0)
2CLCmesc_3_RR_S11_2	(14.0, 33.0)	(15.0, 951.0)	(16.0, 8128.0)	(17.0, 44282.0)	(18.0, 109503.0)	(19.0, 113587.0)	(20.0, 72199.0)	(21.0, 56983.0)	(22.0, 54527.0)	(23.0, 51101.0)	(24.0, 51108.0)	(25.0, 52424.0)	(26.0, 59837.0)	(27.0, 73011.0)	(28.0, 110312.0)	(29.0, 180746.0)	(30.0, 230734.0)	(31.0, 223622.0)	(32.0, 251879.0)	(33.0, 309982.0)	(34.0, 389337.0)	(35.0, 491303.0)	(36.0, 635524.0)	(37.0, 831249.0)	(38.0, 1398642.0)	(39.0, 6676487.0)	(40.0, 728971.0)												
2CLCmesc_3_S5_1	(2.0, 12.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 115.0)	(18.0, 2478.0)	(19.0, 21628.0)	(20.0, 92831.0)	(21.0, 179768.0)	(22.0, 237423.0)	(23.0, 327785.0)	(24.0, 591030.0)	(25.0, 1131829.0)	(26.0, 1989811.0)	(27.0, 2479033.0)	(28.0, 2255276.0)	(29.0, 1608387.0)	(30.0, 1173686.0)	(31.0, 995583.0)	(32.0, 998298.0)	(33.0, 1003811.0)	(34.0, 951768.0)	(35.0, 855307.0)	(36.0, 906672.0)	(37.0, 829920.0)	(38.0, 757768.0)	(39.0, 763133.0)	(40.0, 398321.0)
2CLCmesc_3_S5_2	(13.0, 1.0)	(14.0, 34.0)	(15.0, 749.0)	(16.0, 8292.0)	(17.0, 51628.0)	(18.0, 135092.0)	(19.0, 153273.0)	(20.0, 113209.0)	(21.0, 97818.0)	(22.0, 99929.0)	(23.0, 100825.0)	(24.0, 104304.0)	(25.0, 111937.0)	(26.0, 132264.0)	(27.0, 177530.0)	(28.0, 326588.0)	(29.0, 638608.0)	(30.0, 714634.0)	(31.0, 525873.0)	(32.0, 489086.0)	(33.0, 537541.0)	(34.0, 632624.0)	(35.0, 762835.0)	(36.0, 959518.0)	(37.0, 1234341.0)	(38.0, 1986780.0)	(39.0, 9199898.0)	(40.0, 1256469.0)											
2CLCmesc_4_RR_S12_1	(2.0, 12.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 90.0)	(18.0, 1624.0)	(19.0, 13992.0)	(20.0, 59529.0)	(21.0, 124620.0)	(22.0, 204390.0)	(23.0, 314728.0)	(24.0, 461846.0)	(25.0, 652663.0)	(26.0, 906314.0)	(27.0, 1035419.0)	(28.0, 984379.0)	(29.0, 798270.0)	(30.0, 690373.0)	(31.0, 719814.0)	(32.0, 937612.0)	(33.0, 818311.0)	(34.0, 534475.0)	(35.0, 486288.0)	(36.0, 490501.0)	(37.0, 429325.0)	(38.0, 412522.0)	(39.0, 566745.0)	(40.0, 376004.0)
2CLCmesc_4_RR_S12_2	(14.0, 7.0)	(15.0, 426.0)	(16.0, 5265.0)	(17.0, 29894.0)	(18.0, 68302.0)	(19.0, 73956.0)	(20.0, 59769.0)	(21.0, 54475.0)	(22.0, 54221.0)	(23.0, 53493.0)	(24.0, 55509.0)	(25.0, 60966.0)	(26.0, 72386.0)	(27.0, 92947.0)	(28.0, 142463.0)	(29.0, 252632.0)	(30.0, 337208.0)	(31.0, 267165.0)	(32.0, 248434.0)	(33.0, 277519.0)	(34.0, 328489.0)	(35.0, 401475.0)	(36.0, 519083.0)	(37.0, 703855.0)	(38.0, 1252688.0)	(39.0, 6111511.0)	(40.0, 495709.0)												
